timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
140 46 51 0.3889528198198142 0.0110471801801858
173 78 94 0.3930004102111524 0.006999589788847627
181 92 110 0.39421652409387786 0.00578347590612216
207 75 140 0.3990930156533888 9.069843466112393E-4
214 109 118 0.39195486359818815 0.00804513640181187
217 135 150 0.39202285264885034 0.007977147351149683
222 68 79 0.3968640857786043 0.003135914221395697
226 56 114 0.39510378186918627 0.0048962181308137565
235 96 123 0.39599869799538573 0.004001302004614293
236 96 123 0.39599869799538573 0.004001302004614293
240 102 158 0.3945274429212753 0.005472557078724738
257 42 54 0.3909751123822679 0.009024887617732125
261 38 67 0.39136388526899646 0.008636114731003564
262 148 156 0.3896884144339782 0.010311585566021797
281 67 196 0.39303241265115074 0.00696758734884928
283 42 160 0.3977582692528556 0.0022417307471443992
296 121 132 0.3993448271280331 6.551728719669248E-4
299 188 191 0.39777758202983227 0.002222417970167756
306 162 195 0.39020876886863015 0.00979123113136987
310 162 182 0.38816642135564183 0.01183357864435819
314 125 189 0.3997962967853679 2.037032146321449E-4
314 167 199 0.3935401550602418 0.006459844939758208
315 167 241 0.39990408606298417 9.591393701585682E-5
324 164 244 0.39313619910023934 0.006863800899760686
325 212 241 0.3917099281018589 0.008290071898141127
326 194 258 0.39733618877107535 0.002663811228924673
327 103 125 0.3930292140771767 0.006970785922823297
327 194 258 0.39733618877107535 0.002663811228924673
329 42 236 0.39701764089073777 0.002982359109262256
329 207 225 0.3942822459649662 0.0057177540350338285
330 42 236 0.39701764089073777 0.002982359109262256
334 233 284 0.3993948352626061 6.051647373939151E-4
335 233 284 0.3993948352626061 6.051647373939151E-4
339 42 246 0.39772660941779975 0.0022733905822002742
342 220 246 0.398609911936214 0.0013900880637860435
345 42 159 0.3927231072441778 0.007276892755822217
345 212 232 0.3990582460102482 9.417539897518257E-4
349 169 194 0.39286749254757464 0.007132507452425385
351 103 232 0.39671636217609657 0.0032836378239034514
354 223 272 0.3920850000141182 0.007914999985881799
355 223 272 0.3920850000141182 0.007914999985881799
361 228 252 0.3990890780782198 9.109219217802167E-4
367 214 244 0.39719029141635315 0.002809708583646875
372 103 276 0.3993981330720965 6.018669279035382E-4
372 252 258 0.38864367717800674 0.011356322821993281
373 198 276 0.3949328019649594 0.005067198035040632
373 239 276 0.3899117976797293 0.010088202320270745
