timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
150 47 79 0.3912727427080247 0.008727257291975321
151 47 79 0.3912727427080247 0.008727257291975321
152 47 79 0.3912727427080247 0.008727257291975321
153 47 79 0.3912727427080247 0.008727257291975321
173 139 147 0.39624291906847503 0.003757080931524992
174 139 147 0.39624291906847503 0.003757080931524992
175 139 147 0.39624291906847503 0.003757080931524992
176 139 147 0.39624291906847503 0.003757080931524992
177 139 147 0.39624291906847503 0.003757080931524992
220 161 164 0.3930504474195783 0.006949552580421736
245 238 247 0.3928783002093612 0.0071216997906388135
246 238 247 0.3928783002093612 0.0071216997906388135
247 238 247 0.3928783002093612 0.0071216997906388135
248 238 247 0.3928783002093612 0.0071216997906388135
249 238 247 0.3928783002093612 0.0071216997906388135
250 238 247 0.3928783002093612 0.0071216997906388135
251 238 247 0.3928783002093612 0.0071216997906388135
261 236 260 0.39730900814705267 0.0026909918529473553
266 254 263 0.39558883490771546 0.0044111650922845635
267 254 263 0.39558883490771546 0.0044111650922845635
275 230 262 0.39428972026290054 0.005710279737099477
298 132 204 0.39543720098016233 0.004562799019837693
305 175 268 0.3988642733900505 0.0011357266099495389
307 39 118 0.39802909458768626 0.0019709054123137615
321 18 38 0.3995552874937453 4.447125062547186E-4
322 18 38 0.3995552874937453 4.447125062547186E-4
325 34 331 0.3971038364819581 0.00289616351804195
326 34 331 0.3971038364819581 0.00289616351804195
327 34 331 0.3971038364819581 0.00289616351804195
328 34 331 0.3971038364819581 0.00289616351804195
329 34 331 0.3971038364819581 0.00289616351804195
330 34 331 0.3971038364819581 0.00289616351804195
333 60 322 0.3954952933802953 0.004504706619704701
334 60 322 0.3954952933802953 0.004504706619704701
336 297 308 0.3976897291968313 0.0023102708031687014
337 297 308 0.3976897291968313 0.0023102708031687014
345 72 127 0.39744270322992126 0.002557296770078765
349 319 328 0.38963872999547267 0.010361270004527356
349 328 337 0.3941650011351679 0.0058349988648321305
353 325 347 0.39153286163933104 0.00846713836066898
354 325 347 0.39153286163933104 0.00846713836066898
355 325 347 0.39153286163933104 0.00846713836066898
356 325 347 0.39153286163933104 0.00846713836066898
359 285 298 0.3928980175715474 0.007101982428452613
365 12 21 0.39555112947937754 0.004448870520622483
365 210 225 0.3947703825802437 0.005229617419756305
373 22 42 0.3947639329275471 0.0052360670724529434
374 22 42 0.3947639329275471 0.0052360670724529434
